Order_Month,Eligible_Orders,Late_Orders,Late_Rate,Order_Month_dt
2015-01,1713,963,0.5621716287215411,2015-01-01
2015-02,1505,871,0.5787375415282392,2015-02-01
2015-03,1702,978,0.5746180963572268,2015-03-01
2015-04,1639,927,0.565588773642465,2015-04-01
2015-05,1684,969,0.5754156769596199,2015-05-01
2015-06,1651,941,0.5699576014536645,2015-06-01
2015-07,1704,963,0.5651408450704225,2015-07-01
2015-08,1678,966,0.5756853396901073,2015-08-01
2015-09,1634,951,0.5820073439412484,2015-09-01
2015-10,1696,973,0.5737028301886793,2015-10-01
2015-11,1658,941,0.5675512665862484,2015-11-01
2015-12,1731,988,0.5707683419988446,2015-12-01
2016-01,1703,998,0.5860246623605402,2016-01-01
2016-02,1574,893,0.5673443456162643,2016-02-01
2016-03,1700,987,0.5805882352941176,2016-03-01
2016-04,1630,925,0.5674846625766872,2016-04-01
2016-05,1675,971,0.5797014925373134,2016-05-01
2016-06,1617,968,0.5986394557823129,2016-06-01
2016-07,1662,922,0.5547533092659447,2016-07-01
2016-08,1698,983,0.5789163722025913,2016-08-01
2016-09,1664,949,0.5703125,2016-09-01
2016-10,1703,976,0.5731062830299471,2016-10-01
2016-11,1639,935,0.5704697986577181,2016-11-01
2016-12,1690,990,0.5857988165680473,2016-12-01
2017-01,1685,940,0.5578635014836796,2017-01-01
2017-02,1538,879,0.5715214564369311,2017-02-01
2017-03,1710,984,0.5754385964912281,2017-03-01
2017-04,1666,917,0.5504201680672269,2017-04-01
2017-05,1672,965,0.5771531100478469,2017-05-01
2017-06,1605,911,0.567601246105919,2017-06-01
2017-07,1693,966,0.570584760779681,2017-07-01
2017-08,1695,981,0.5787610619469027,2017-08-01
2017-09,1640,941,0.573780487804878,2017-09-01
2017-10,2019,1137,0.563150074294205,2017-10-01
2017-11,1956,1132,0.5787321063394683,2017-11-01
2017-12,2031,1172,0.5770556376169375,2017-12-01
2018-01,2037,1195,0.586647029945999,2018-01-01
